BrierBest,BrierRest,BrierAll,BrierMP,QuestionID,BrierNotWorst,RepBest,best
0.614074792549309,0.515381746758322,0.593856295108916,0.527128720496515,2,0.515381746758322,-0.5,5
0.00967049678473321,0.0254079673082082,0.0248501780823371,0.0490786083414721,5,0.0247755658032863,-0.48549488968,5
0.0750668300162942,0.0673568491072976,0.0685977489807617,0.031817403660122,6,0.0671388556647249,-0.5,5
0.0231524406344662,0.0302402054014889,0.0299716178767721,0.0091403035718393,16,0.0302402054014889,-0.5,5
0.027045203638054,0.0313832084678111,0.0332304815755437,0.020611763052769,22,0.0291694346650978,-0.5,5
0.285216400080159,0.432028618268782,0.382747133560143,0.520627332197996,23,0.432028618268782,-0.5,5
0.615874785971302,0.683211767012192,0.67624243727556,0.806145613426811,24,0.678743411932644,-0.48549488968,5
0.139653476621133,0.108468073519866,0.124722780289758,0.0537122028021134,31,0.108468073519866,-0.5,5
0.105630057768136,0.1217417651302,0.127942200746593,0.0992600799409076,32,0.128808057808051,-0.5,5
0.0614947505316111,0.0677270743844757,0.0693808881235542,0.0395163322947359,36,0.0719533325857587,-0.5,5
0.000868270451421728,0.00409383987604399,0.000983268664007423,0.000145547895996141,37,0.00202927673678097,-0.5,5
0.0188421308974063,0.00737004613710292,0.00828147669940276,0.00195399710982665,38,0.00579634337545918,-0.5,5
0.00627049813083116,0.106997846337601,0.0920480851849346,0.0487872837609068,41,0.103087438781821,-0.5,5
0.468058407151478,0.409238802040023,0.437420299014996,0.376694416807041,43,0.41482911760266,-0.48549488968,5
0.417788452314912,0.36528914070814,0.370215735147958,0.267498418912523,44,0.377231353157381,-0.48549488968,5
0.299226107115635,0.252171146754203,0.275961785890238,0.351697245674215,45,0.259309631445914,-0.48549488968,5
0.0416638411816922,0.0984965103699144,0.099311676731849,0.0611105855333824,46,0.0948358493451108,-0.48549488968,5
0.251967342853501,0.289545934045013,0.283117248609789,0.159932259408813,47,0.331351343593167,-0.48549488968,5
0.0441483959965861,0.0896344197343218,0.092044706459171,0.0573550883240132,48,0.0996383455067258,-0.48549488968,5
0.403293910215244,0.312504940931144,0.360652940405217,0.246097707231548,49,0.365509653787624,-0.48549488968,5
0.320609846374985,0.216548830132373,0.187205797478718,0.141521320759797,50,0.223670407895345,-0.48549488968,5
0.418840202116539,0.389241349146714,0.388637386206289,0.286481218293493,56,0.392906639698384,-0.48549488968,5
0.0308303922101632,0.0363484690874428,0.00932717295266688,0.00951962088018159,65,0.0386108735837059,-0.39792206832,5
0.07469455368099,0.0559598922977321,0.0536976897814184,0.0209074975272834,66,0.053203065257312,0.19897965432,5
0.392561376483084,0.294532697700298,0.289650050717655,0.245284860445241,71,0.291872116949204,-0.48549488968,5
0.351990623029062,0.257860605591679,0.285508521154635,0.307201585358946,72,0.168619803313661,-0.48549488968,5
0.0225925086029641,0.0157504251344884,0.0126890655615719,0.0022118243056246,102,0.0161235996205837,-0.48549488968,5
0.37846679828677,0.294941302825215,0.314531844981333,0.192947668607538,106,0.291339791064676,-0.48549488968,5
0.209200347266505,0.173734655046589,0.170057290622098,0.326005594705975,107,0.17966215995894,-0.43099349304,5
0.524304424097354,0.15004180617111,0.152027444331018,0.049620639497292,108,0.1447247069481,-0.39792206832,5
0.48455200255371,0.190865727519998,0.198661536613659,0.10319802423228,109,0.194829487078005,-0.40104525482,5
0.0355988368163635,0.082984849451321,0.0832394016833935,0.0530524758324778,110,0.0834572233240631,-0.29871966394,5
0.269167603649696,0.14525568792867,0.140586996378069,0.283973552857518,112,0.152569523018201,-0.3964046312,5
0.105056317189935,0.0884726520731218,0.0953397900443584,0.0547457176280559,122,0.0971715118291933,-0.3801269491,5
0.0657593479572746,0.0425377019466815,0.0408125497240093,0.0607252877322206,126,0.0445162813099287,-0.3801269491,5
0.225598110830906,0.14246210251746,0.145005142295363,0.13267008936988,127,0.148390367501639,-0.36491639742,5
